,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
488,Zombieland: Double Tap,2019,6.7,"160,987","Action, Comedy, Horror",99 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
489,Hubie Halloween,2020,5.2,"44,058","Comedy, Mystery",103 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
490,Those Who Wish Me Dead,2021,6.0,"46,064","Action, Crime, Drama",100 ,Film,R,-,None,Severe,Severe,None,Moderate
491,After,2019,5.3,"46,557","Drama, Romance",105 ,Film,PG-13,-,Moderate,Mild,Mild,Moderate,Mild
492,Hitman's Wife's Bodyguard,2021,6.1,"55,699","Action, Comedy, Crime",100 ,Film,R,-,Moderate,Severe,Severe,Mild,Moderate
493,Ron's Gone Wrong,2021,6.8,577,"Animation, Adventure, Comedy",106 ,Film,PG,-,Mild,None,Mild,None,None
495,Narcos,2021,8.8,"383,542","Biography, Crime, Drama",49 ,Series,TV-MA,30,Severe,Severe,Severe,Severe,Severe
497,Back to the Future,1985,8.5,"1,116,887","Adventure, Comedy, Sci-Fi",116 ,Film,PG,-,Mild,Mild,Moderate,Mild,Mild
498,Young Frankenstein,1974,8.0,"150,837",Comedy,106 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
499,Élite,1974,7.5,"63,761","Crime, Drama, Thriller",60 ,Series,TV-MA,40,Severe,Mild,Moderate,Severe,Mild
500,Avatar: The Last Airbender,1974,9.3,"273,781","Animation, Action, Adventure",23 ,Series,TV-Y7-FV,62,None,Mild,None,None,Moderate
