,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
1326,The Game,1997,7.7,"370,750","Action, Drama, Mystery",129 ,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
1327,The New Mutants,2020,5.3,"67,155","Action, Horror, Mystery",94 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1328,Aladdin,2019,6.9,"245,698","Adventure, Comedy, Family",128 ,Film,PG,-,None,Mild,None,None,Mild
1329,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,"194,931","Action, Adventure, Thriller",137 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1330,Ouija: Origin of Evil,2016,6.2,"58,020","Drama, Horror, Mystery",99 ,Film,PG-13,-,None,Moderate,Mild,Mild,Severe
1331,Shazam!,2019,7.0,"296,642","Action, Adventure, Comedy",132 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
1332,Road to Perdition,2002,7.7,"257,655","Crime, Drama, Thriller",117 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
1333,Home Again,2017,5.8,"30,703","Comedy, Drama, Romance",97 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
1334,The Human Centipede (First Sequence),2009,4.4,"76,180",Horror,92 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
1335,Batman & Robin,1997,3.8,"241,590","Action, Sci-Fi",125 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1336,You Only Live Twice,1967,6.9,"103,911","Action, Adventure, Thriller",117 ,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
1337,The Shield,1967,8.7,"76,366","Crime, Drama, Thriller",47 ,Series,TV-MA,89,Moderate,Severe,Moderate,Severe,Severe
1338,The Breakfast Club,1985,7.8,"373,312","Comedy, Drama",97 ,Film,R,-,Mild,Mild,Moderate,Moderate,None
1339,Aftermath,2021,5.3,"12,053","Drama, Horror, Mystery",114 ,Film,TV-MA,-,Mild,Moderate,Moderate,Mild,Moderate
1340,Predator,1987,7.8,"388,411","Action, Adventure, Sci-Fi",107 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
1341,Father Brown,1987,7.7,"9,196","Crime, Drama, Mystery",52 ,Series,TV-PG,95,Mild,Mild,Mild,Moderate,Mild
1342,True Romance,1993,7.9,"217,377","Crime, Drama, Romance",119 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
1343,Southpaw,2015,7.4,"226,759","Action, Crime, Drama",124 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
1344,Reba,2015,6.6,"14,309","Comedy, Drama",30 ,Series,TV-PG,125,Mild,None,Mild,Mild,None
1346,The Imitation Game,2014,8.0,"719,930","Biography, Drama, Thriller",114 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1347,Greenland,2020,6.4,"100,856","Action, Drama, Thriller",119 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
1348,Hairspray,2007,6.7,"124,390","Comedy, Drama, Musical",117 ,Film,PG,-,Mild,None,Mild,Mild,Mild
1349,Ghost,1990,7.1,"206,313","Drama, Fantasy, Romance",127 ,Film,PG-13,-,Mild,Moderate,Moderate,None,Moderate
1350,Armageddon,1998,6.7,"408,801","Action, Adventure, Sci-Fi",151 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1352,Starship Troopers,1997,7.2,"280,324","Action, Adventure, Sci-Fi",129 ,Film,R,-,Moderate,Severe,Mild,Mild,Severe
1353,Freddy vs. Jason,2003,5.7,"114,924","Action, Horror",97 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
1354,Mrs. Doubtfire,1993,7.0,"256,622","Comedy, Drama, Family",125 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,None
1355,Frozen,2013,7.4,"593,439","Animation, Adventure, Comedy",102 ,Film,PG,-,None,Mild,None,None,Mild
1356,Happy Gilmore,1996,7.0,"209,266","Comedy, Sport",92 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,None
1357,Poldark,1996,8.3,"28,390","Drama, History, Romance",60 ,Series,TV-14,43,Mild,Mild,Mild,Mild,Mild
1359,Big Trouble in Little China,1986,7.3,"131,632","Action, Adventure, Comedy",99 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1360,The Blind Side,2009,7.6,"309,095","Biography, Drama, Sport",129 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1361,The Mist,2007,7.1,"291,982","Horror, Sci-Fi, Thriller",126 ,Film,R,-,None,Severe,Moderate,Mild,Severe
1362,King Richard,2021,6.7,250,"Biography, Drama, Sport",138 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Moderate
1363,The Terminal,2004,7.4,"429,358","Comedy, Drama, Romance",128 ,Film,PG-13,-,Mild,None,Mild,Mild,None
1364,Scream,2004,7.1,"37,042","Comedy, Crime, Drama",45 ,Series,TV-14,29,Moderate,Severe,Mild,Mild,Moderate
1365,Schmigadoon!,2004,7.3,"6,207","Comedy, Musical",30 ,Series,TV-14,6,Mild,None,Mild,None,None
1366,Thor: The Dark World,2013,6.8,"630,536","Action, Adventure, Fantasy",112 ,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate
1368,The Graduate,1967,8.0,"263,718","Comedy, Drama, Romance",106 ,Film,PG,-,Moderate,Mild,Mild,Mild,Mild
1370,Octopussy,1983,6.5,"101,261","Action, Adventure, Thriller",131 ,Film,PG,-,Moderate,Moderate,Mild,Mild,Mild
1371,Stand by Me,1986,8.1,"381,082","Adventure, Drama",89 ,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
1372,Total Recall,1990,7.5,"315,381","Action, Sci-Fi, Thriller",113 ,Film,R,-,Moderate,Severe,Moderate,None,Severe
1373,The Mother,2003,6.8,"4,189","Drama, Romance",112 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
1374,Midnight in Paris,2011,7.7,"403,980","Comedy, Fantasy, Romance",94 ,Film,PG-13,-,Mild,None,Mild,Mild,None
1375,The Terminator,1984,8.0,"822,248","Action, Sci-Fi",107 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
1376,The Fast and the Furious,2001,6.8,"368,789","Action, Crime, Thriller",106 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
1377,Enola Holmes,2020,6.6,"150,248","Action, Adventure, Crime",123 ,Film,PG-13,-,None,Mild,None,None,Mild
1378,King of the Hill,2020,7.3,"48,428","Animation, Comedy, Drama",30 ,Series,TV-PG,258,Mild,None,Mild,Moderate,None
1379,Not Another Teen Movie,2001,5.7,"101,791",Comedy,89 ,Film,R,-,Severe,Moderate,Moderate,Moderate,None
1380,Twin Peaks,2017,8.5,"62,089","Crime, Drama, Fantasy",60 ,Series,TV-MA,18,Moderate,Severe,Severe,Moderate,Severe
1381,Clarkson's Farm,2017,9.1,"23,812","Documentary, Reality-TV",45 ,Series,TV-PG,9,None,Mild,Moderate,Mild,None
1382,The Rite,2011,6.0,"94,364","Drama, Horror, Mystery",114 ,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate
1383,21 Jump Street,2012,7.2,"528,589","Action, Comedy, Crime",109 ,Film,R,-,Moderate,Moderate,Severe,Severe,Mild
1384,Star Wars: Episode VIII - The Last Jedi,2017,6.9,"590,531","Action, Adventure, Fantasy",152 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
1385,The Killing of a Sacred Deer,2017,7.0,"136,351","Drama, Horror, Mystery",121 ,Film,R,-,Moderate,Moderate,Mild,Mild,Severe
1387,Lucy,2014,6.4,"468,355","Action, Sci-Fi, Thriller",89 ,Film,R,-,Mild,Severe,Mild,Moderate,Moderate
1388,Derry Girls,2014,8.4,"25,707",Comedy,30 ,Series,TV-MA,13,None,None,Moderate,Mild,None
1390,Blood Red Sky,2021,6.1,"38,932","Action, Horror, Thriller",121 ,Film,TV-MA,-,None,Severe,Severe,Mild,Severe
1391,You Belong to Me,2021,5.3,"3,539","Drama, Mystery, Thriller",105 ,Film,R,-,Mild,Moderate,Mild,Mild,Mild
1392,American Gangster,2007,7.8,"407,369","Biography, Crime, Drama",157 ,Film,R,-,Severe,Severe,Severe,Severe,Severe
1393,Dolittle,2020,5.6,"55,368","Adventure, Comedy, Family",101 ,Film,PG,-,None,None,None,None,Mild
1394,Dark Phoenix,2019,5.7,"170,773","Action, Adventure, Sci-Fi",113 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
1395,The Shape of Water,2017,7.3,"394,482","Adventure, Drama, Fantasy",123 ,Film,R,-,Severe,Severe,Moderate,Mild,Moderate
1396,Survivor,2017,7.3,"23,175","Adventure, Game-Show, Reality-TV",60 ,Series,TV-PG,609,Mild,Mild,Mild,Mild,Mild
1397,The Hunt for Red October,1990,7.6,"189,008","Action, Adventure, Thriller",135 ,Film,PG,-,None,Mild,Mild,Mild,Mild
1398,The Monster Squad,1987,7.0,"30,822","Action, Comedy, Fantasy",79 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
1400,Divergent,2014,6.6,"440,217","Action, Adventure, Mystery",139 ,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate
1401,L.A.'s Finest,2014,6.1,"6,383","Action, Comedy, Crime",60 ,Series,TV-14,26,Mild,Moderate,Moderate,Moderate,Moderate
1402,Unforgiven,1992,8.2,"392,997","Drama, Western",130 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
1403,Taskmaster,1992,9.0,"8,872","Comedy, Game-Show",60 ,Series,TV-14,117,Mild,None,Moderate,None,None
1404,The Marksman,2021,5.6,"23,041","Action, Drama, Thriller",108 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
1405,Parenthood,2021,8.2,"32,833","Comedy, Drama",60 ,Series,TV-PG,103,Mild,Mild,Mild,Moderate,Mild
1406,Fighting with My Family,2019,7.1,"74,761","Biography, Comedy, Drama",108 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
1407,Penny Dreadful,2019,8.2,"116,460","Drama, Fantasy, Horror",60 ,Series,TV-MA,27,Severe,Severe,Severe,Severe,Severe
1408,Planet of the Apes,2001,5.7,"214,997","Action, Adventure, Sci-Fi",119 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
1409,Army of Darkness,1992,7.5,"168,896","Comedy, Horror",81 ,Film,R,-,Mild,Moderate,Mild,None,Mild
1410,Run,2020,6.7,"60,144","Mystery, Thriller",90 ,Film,PG-13,-,None,Mild,Mild,Mild,Moderate
1411,World War Z,2013,7.0,"627,735","Action, Adventure, Horror",116 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
1412,Underworld,2003,7.0,"260,948","Action, Fantasy, Thriller",121 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
1413,Spotlight,2015,8.1,"443,922","Biography, Crime, Drama",129 ,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
1415,Baki,2021,6.7,"4,754","Animation, Action, Drama",45 ,Series,TV-MA,39,Moderate,Severe,Mild,Mild,Moderate
1416,Atlanta,2021,8.6,"58,326","Comedy, Drama, Music",30 ,Series,TV-MA,39,Mild,Moderate,Severe,Moderate,Mild
1417,The Blair Witch Project,1999,6.5,"244,656","Horror, Mystery",81 ,Film,R,-,None,Mild,Severe,Mild,Severe
1418,Beckett,2021,5.6,"21,794","Action, Crime, Drama",110 ,Film,TV-MA,-,Mild,Moderate,Moderate,Mild,Mild
1419,One Punch Man: Wanpanman,2021,8.8,"133,779","Animation, Action, Comedy",24 ,Series,TV-PG,25,Mild,Moderate,Mild,Mild,Mild
1420,Iron Man Three,2013,7.1,"793,632","Action, Adventure, Sci-Fi",130 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1421,Do-ga-ni,2011,8.1,"13,284",Drama,125 ,Film,Not Rated,-,Severe,Severe,Mild,Mild,Severe
1422,Dave,2011,8.3,"15,304","Comedy, Music",30 ,Series,TV-MA,20,Moderate,Mild,Severe,Moderate,None
1423,The Ranch,2011,7.5,"35,793","Comedy, Drama, Western",30 ,Series,TV-MA,80,Mild,None,Severe,Moderate,None
1424,Sweet Home Alabama,2002,6.2,"107,480","Comedy, Romance",108 ,Film,PG-13,-,None,None,Mild,Mild,Mild
1425,Natural Born Killers,1994,7.3,"225,207","Action, Crime, Drama",118 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
1426,Wild Things,1998,6.5,"114,853","Crime, Drama, Mystery",108 ,Film,R,-,Severe,Moderate,Severe,Moderate,Mild
1427,Castle Rock,1998,7.6,"41,820","Drama, Fantasy, Horror",60 ,Series,TV-MA,20,Moderate,Severe,Moderate,Mild,Severe
1428,Forbrydelsen,1998,8.4,"25,942","Crime, Drama, Mystery",57 ,Series,TV-MA,40,Mild,Moderate,Mild,Mild,Moderate
1429,JAG,1998,6.6,"17,409","Action, Crime, Drama",60 ,Series,TV-14,227,Mild,Moderate,Mild,Mild,Mild
1430,Shadowhunters: The Mortal Instruments,1998,6.6,"57,588","Action, Drama, Fantasy",42 ,Series,TV-14,55,Mild,Moderate,None,Mild,Moderate
1431,Dirty John,1998,7.2,"19,007","Crime, Drama",44 ,Series,TV-14,16,Mild,Mild,Mild,Mild,Moderate
1432,The Terror,1998,7.9,"41,518","Adventure, Drama, History",60 ,Series,TV-14,20,Mild,Severe,Mild,Mild,Severe
1433,Fargo,1996,8.1,"644,973","Crime, Drama, Thriller",98 ,Film,R,-,Moderate,Severe,Severe,Mild,Moderate
1434,"Love, Victor",1996,8.1,"12,263","Comedy, Drama, Romance",30 ,Series,TV-14,21,Mild,None,Mild,Mild,None
1435,The Help,2011,8.0,"440,341",Drama,146 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
1436,Munich,2005,7.5,"219,774","Action, Drama, History",164 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
1437,I Spit on Your Grave,2010,6.3,"80,557","Horror, Thriller",108 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
1438,Terminator: Dark Fate,2019,6.2,"163,583","Action, Adventure, Sci-Fi",128 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
1439,Alice in Wonderland,2010,6.4,"396,924","Adventure, Family, Fantasy",108 ,Film,PG,-,None,Moderate,None,Mild,Moderate
1441,All About Eve,1950,8.2,"126,291",Drama,138 ,Film,Passed,-,None,None,None,Moderate,None
1442,Things Heard & Seen,2021,5.3,"26,809","Drama, Horror, Mystery",121 ,Film,TV-MA,-,Mild,Moderate,Moderate,Mild,Moderate
1443,Paradise Hills,2019,5.4,"21,145","Fantasy, Sci-Fi, Thriller",95 ,Film,TV-14,-,Mild,Mild,Mild,Mild,Mild
1444,Martyrs,2008,7.1,"88,087",Horror,99 ,Film,R,-,Moderate,Severe,Mild,Mild,Severe
1445,Zootopia,2016,8.0,"460,226","Animation, Adventure, Comedy",108 ,Film,PG,-,None,Mild,None,Mild,Mild
1446,Ghost in the Shell,2017,6.3,"206,127","Action, Crime, Drama",107 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
1449,The Turning,2020,3.8,"11,947","Drama, Horror, Mystery",94 ,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate
1450,Baywatch,2017,5.5,"174,777","Action, Comedy, Crime",116 ,Film,R,-,Moderate,Moderate,Severe,Mild,Mild
1451,That Thing You Do!,1996,6.9,"65,575","Comedy, Drama, Music",108 ,Film,PG,-,Mild,None,Mild,Mild,None
1452,The L Word,1996,7.6,"25,328","Drama, Romance",50 ,Series,TV-MA,70,Severe,None,Moderate,Moderate,Mild
1453,Under the Skin,2013,6.3,"136,184","Drama, Horror, Sci-Fi",108 ,Film,R,-,Severe,Moderate,Mild,Mild,Severe
1455,Blush,2021,7.7,767,"Animation, Short, Sci-Fi",11 ,Film,PG,-,None,None,None,None,Mild
1458,The Devil Wears Prada,2006,6.9,"391,489","Comedy, Drama",109 ,Film,PG-13,-,Mild,None,Mild,Mild,None
1459,John Wick: Chapter 2,2017,7.5,"395,905","Action, Crime, Thriller",122 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
1460,My Cousin Vinny,1992,7.6,"115,033","Comedy, Crime",120 ,Film,R,-,Mild,Mild,Moderate,Mild,None
1461,For Your Eyes Only,1981,6.7,"96,673","Action, Adventure, Thriller",127 ,Film,PG,-,Mild,Moderate,None,Mild,Mild
1462,Silver Linings Playbook,2012,7.7,"682,108","Comedy, Drama, Romance",122 ,Film,R,-,Mild,Mild,Severe,Mild,Mild
1463,Road Trip,2000,6.4,"163,615",Comedy,93 ,Film,R,-,Moderate,Mild,Moderate,Moderate,None
1464,Point Break,1991,7.3,"169,670","Action, Crime, Thriller",122 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
1465,Roseanne,1991,7.0,"41,387","Comedy, Drama",21 ,Series,TV-PG,230,Mild,Mild,Mild,Mild,Mild
1466,The Untouchables,1987,7.9,"295,516","Crime, Drama, Thriller",119 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
1467,Crooked House,2017,6.3,"21,361","Crime, Drama, Mystery",115 ,Film,PG-13,-,None,Mild,Mild,Moderate,Mild
1468,The Wizard of Oz,1939,8.0,"380,235","Adventure, Family, Fantasy",102 ,Film,G,-,None,Mild,None,None,Mild
1469,Cinderella,2015,6.9,"169,105","Adventure, Drama, Family",105 ,Film,PG,-,None,None,None,None,Mild
1470,A Bridge Too Far,1977,7.4,"54,645","Drama, History, War",175 ,Film,PG,-,None,Moderate,Moderate,Mild,Moderate
1471,The Mitchells vs the Machines,2021,7.7,"76,940","Animation, Adventure, Comedy",113 ,Film,PG,-,None,Mild,None,None,Mild
1472,Blade,1998,7.1,"257,516","Action, Horror, Sci-Fi",120 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
1473,The Final Girls,2015,6.6,"42,736","Comedy, Drama, Fantasy",91 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
1474,Casino Royale,1967,5.1,"28,917",Comedy,131 ,Film,Approved,-,Mild,Mild,Mild,Mild,None
1475,Fear of Rain,2021,5.9,"5,536","Drama, Horror, Thriller",109 ,Film,PG-13,-,None,Mild,Mild,Mild,Severe
1476,Kimi no na wa.,2016,8.4,"226,939","Animation, Drama, Fantasy",106 ,Film,TV-PG,-,Mild,None,None,Mild,Mild
1477,The House That Jack Built,2018,6.8,"66,537","Crime, Drama, Horror",152 ,Film,R,-,Moderate,Severe,Severe,Mild,Severe
1478,Coal Miner's Daughter,1980,7.5,"17,809","Biography, Drama, Music",124 ,Film,PG,-,Mild,Mild,Moderate,Mild,Moderate
1479,Just Mercy,2019,7.6,"57,183","Biography, Crime, Drama",137 ,Film,PG-13,-,None,Mild,Mild,Mild,Moderate
1480,Scream 3,2000,5.6,"129,243","Horror, Mystery",116 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
1483,Ocean's Eleven,2001,7.7,"540,659","Crime, Thriller",116 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
1485,Bad Boys,1995,6.9,"251,286","Action, Comedy, Crime",119 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
1486,The Ritual,2017,6.3,"87,392","Horror, Mystery, Thriller",94 ,Film,TV-MA,-,Mild,Severe,Severe,Mild,Severe
1487,Ratatouille,2007,8.0,"671,712","Animation, Adventure, Comedy",111 ,Film,G,-,None,Mild,None,Mild,Mild
1488,Inspector Morse,2007,8.2,"11,095","Crime, Drama, Mystery",100 ,Series,TV-14,33,Moderate,Severe,Mild,Mild,Moderate
1489,Underwater,2020,5.8,"72,580","Adventure, Horror, Sci-Fi",95 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
1490,La vita è bella,1997,8.6,"654,219","Comedy, Drama, Romance",116 ,Film,PG-13,-,None,Mild,None,Mild,Moderate
1491,Van Helsing,1997,6.2,"20,576","Action, Drama, Fantasy",43 ,Series,TV-14,65,Mild,Severe,Moderate,Mild,Severe
1492,Bud Abbott Lou Costello Meet Frankenstein,1948,7.4,"16,974","Comedy, Family, Fantasy",83 ,Film,Not Rated,-,None,Mild,None,Mild,Mild
1493,"Monsters, Inc.",2001,8.1,"853,277","Animation, Adventure, Comedy",92 ,Film,G,-,None,Mild,None,None,Mild
1494,Back to Life,2001,7.5,"4,249","Comedy, Drama",30 ,Series,TV-MA,12,Moderate,Moderate,Severe,Mild,Mild
1496,Sonic the Hedgehog,2020,6.5,"106,840","Action, Adventure, Comedy",99 ,Film,PG,-,None,Mild,Mild,Mild,Mild
1497,Scouts Guide to the Zombie Apocalypse,2015,6.3,"48,670","Action, Comedy, Horror",93 ,Film,R,-,Severe,Severe,Severe,Mild,Moderate
1498,Fast Times at Ridgemont High,1982,7.2,"100,284","Comedy, Drama",90 ,Film,R,-,Severe,Mild,Moderate,Moderate,None
1500,The Karate Kid,1984,7.3,"208,969","Action, Drama, Family",126 ,Film,PG,-,None,Mild,Mild,Mild,Mild
1501,Commando,1985,6.7,"153,193","Action, Adventure, Thriller",90 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
1502,Evil Dead,2013,6.5,"163,319",Horror,91 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
1503,Amphibia,2013,8.1,"3,342","Animation, Action, Adventure",23 ,Series,TV-Y7,45,None,Mild,None,None,Mild
1504,The Perks of Being a Wallflower,2012,7.9,"482,833","Drama, Romance",103 ,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Moderate
1505,The Man from U.N.C.L.E.,2015,7.3,"291,228","Action, Adventure, Comedy",116 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
1506,Room,2015,8.1,"394,244","Drama, Thriller",118 ,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
1507,District 9,2009,7.9,"656,442","Action, Sci-Fi, Thriller",112 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
1508,Degrassi: The Next Generation,2009,7.4,"12,723","Drama, Romance",30 ,Series,TV-PG,385,Mild,Moderate,Mild,Moderate,Moderate
1509,"Magnum, P.I.",2009,7.5,"23,800","Action, Adventure, Crime",48 ,Series,TV-PG,158,Mild,Moderate,Mild,Mild,Mild
1510,Kingdom of Heaven,2005,7.2,"276,066","Action, Adventure, Drama",144 ,Film,R,-,Mild,Severe,Mild,Mild,Moderate
1511,Cosmic Sin,2021,2.5,"10,329","Action, Adventure, Sci-Fi",88 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
1512,G.I. Joe: The Rise of Cobra,2009,5.8,"204,827","Action, Adventure, Sci-Fi",118 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
1513,Event Horizon,1997,6.7,"168,940","Horror, Sci-Fi, Thriller",96 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
1514,Hunters,1997,7.2,"35,064","Crime, Drama, Mystery",60 ,Series,TV-MA,20,Moderate,Severe,Severe,Mild,Severe
1515,Friday the 13th Part 2,1981,6.1,"63,824","Horror, Mystery, Thriller",87 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
1516,For Life,1981,7.7,"5,719","Biography, Crime, Drama",43 ,Series,TV-14,23,Mild,Mild,Severe,Mild,Mild
1517,The Girlfriend Experience,1981,7.0,"10,068",Drama,27 ,Series,TV-MA,37,Severe,Moderate,Moderate,Mild,None
1518,Identity,2003,7.3,"235,927","Mystery, Thriller",90 ,Film,R,-,None,Severe,Moderate,None,Moderate
1519,Warrior,2011,8.1,"451,014","Action, Drama, Sport",140 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
1520,Sleepers,1996,7.6,"208,408","Crime, Drama, Thriller",147 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe
1521,The Brokenwood Mysteries,1996,7.9,"3,529","Crime, Drama, Mystery",90 ,Series,Not Rated,30,Mild,Mild,Mild,Mild,Mild
1522,Superbad,2007,7.6,"544,593",Comedy,113 ,Film,R,-,Moderate,Mild,Severe,Severe,None
1523,The Lion King,2019,6.8,"227,258","Animation, Adventure, Drama",118 ,Film,PG,-,None,Mild,None,None,Moderate
1524,The Nice Guys,2016,7.4,"301,176","Action, Comedy, Crime",116 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Mild
1525,War Dogs,2016,7.1,"195,267","Biography, Comedy, Crime",114 ,Film,R,-,Mild,Moderate,Severe,Severe,Mild
1526,Booksmart,2019,7.2,"107,068",Comedy,102 ,Film,R,-,Moderate,None,Severe,Moderate,None
1527,Mystic River,2003,7.9,"438,092","Crime, Drama, Mystery",138 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
1529,Zero Dark Thirty,2012,7.4,"286,004","Drama, History, Thriller",157 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
1531,The Croods: A New Age,2020,7.0,"33,732","Animation, Adventure, Comedy",95 ,Film,PG,-,None,Mild,None,None,Mild
1532,Cherry,2021,6.6,"26,446","Crime, Drama",142 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
1533,Snowfall,2021,8.2,"14,115","Crime, Drama",44 ,Series,TV-MA,51,Severe,Severe,Severe,Severe,Severe
1534,Full House,2021,6.7,"55,148","Comedy, Drama, Family",22 ,Series,TV-G,193,Mild,None,None,Mild,None
1535,Nymphomaniac: Vol. I,2013,6.9,"119,998",Drama,117 ,Film,Not Rated,-,Severe,Moderate,Severe,None,Severe
1536,Crash,1996,6.4,"56,469",Drama,100 ,Film,NC-17,-,Severe,Severe,Severe,Mild,Severe
1537,A Series of Unfortunate Events,1996,7.8,"56,859","Adventure, Comedy, Drama",50 ,Series,TV-PG,25,None,Mild,Mild,Mild,Moderate
1538,Midnight in the Switchgrass,2021,4.4,"3,858","Action, Crime, Thriller",99 ,Film,R,-,Moderate,Mild,Severe,Moderate,Severe
1540,Tata muta muntii,2021,5.5,"2,584","Drama, Thriller",108 ,Film,TV-MA,-,None,None,None,None,Mild
1541,Locke,2013,7.1,"143,172",Drama,85 ,Film,R,-,None,None,Severe,Mild,Mild
1542,The Maze Runner,2014,6.8,"438,613","Action, Mystery, Sci-Fi",113 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
1543,Captain America: The Winter Soldier,2014,7.7,"780,201","Action, Adventure, Sci-Fi",136 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
1544,Batman: The Animated Series,2014,9.0,"93,916","Animation, Action, Adventure",23 ,Series,TV-PG,85,Mild,Moderate,Mild,Mild,Moderate
1545,Ocean's Eight,2018,6.3,"202,147","Action, Comedy, Crime",110 ,Film,PG-13,-,Mild,None,Mild,Mild,None
1546,Chaos,2005,6.5,"53,516","Action, Crime, Drama",106 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
1547,Napoleon Dynamite,2004,6.9,"207,155",Comedy,96 ,Film,PG,-,Mild,Mild,None,None,None
1548,Tinker Tailor Soldier Spy,2011,7.1,"194,386","Drama, Mystery, Thriller",122 ,Film,R,-,Moderate,Severe,Moderate,Mild,Mild
1549,Fifty Shades Freed,2018,4.5,"60,589","Drama, Romance, Thriller",105 ,Film,R,-,Severe,Moderate,Moderate,Mild,Mild
1550,The Hardy Boys,2018,7.1,"1,667","Adventure, Drama, Family",45 ,Series,TV-PG,23,None,Mild,None,None,Mild
1551,Tremors,1990,7.1,"129,279","Comedy, Horror",96 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
1553,Dirilis: Ertugrul,1990,8.0,"32,886","Action, Adventure, Drama",120 ,Series,TV-14,179,None,Moderate,None,None,Mild
1555,Only Fools and Horses....,2022,8.9,"48,563",Comedy,95 ,Series,TV-PG,64,Mild,None,Mild,Mild,None
1556,The Legend of Korra,2022,8.4,"112,152","Animation, Action, Adventure",23 ,Series,TV-PG,52,None,Moderate,None,None,Moderate
